Disease Name,Local Name,Symptoms,Causes,Herbal Remedy,Local Name of Remedy,Preparation Method,Dosage,Application Method,Notes or Cultural Beliefs,
Malaria,Atewasesɛm (Twi),"Cycles of fever, chills, sweating, headache, nausea, vomiting",Plasmodium parasite transmitted via Anopheles mosquito bites,Cryptolepis sanguinolenta,Nibima (Akan),Decoction of root bark - boil 30g in 1L water for 15 minutes,1 cup (250ml) 2-3 times daily,Oral (drinking),Most researched antimalarial plant in Ghana; traditionally used across West Africa,
Diabetes (Type 2),Edwonnam (Twi),"Frequent urination, excessive thirst, fatigue, weight loss, blurred vision","Insulin resistance, pancreatic beta-cell dysfunction, genetic factors",Momordica charantia,Awure/Nyankyerɛ (Twi),Slice fresh fruit,boil in water for 10 minutes to make bitter tea,1 cup morning and evening before meals,Oral (drinking),Bitter melon widely used in traditional Ghanaian medicine for blood sugar control
Asthma,Ohaweremu/Ahwere (Twi),"Wheezing, chest tightness, shortness of breath, persistent cough","Airway inflammation triggered by allergens, cold air, exercise, stress",Desmodium adscendens,Ogyama (Akan),Boil fresh or dried leaves (20g) in 500ml water for 10 minutes,1 cup three times daily,Oral (drinking),Extensively studied for bronchodilator properties; used by traditional healers,
Hypertension,Mogyaborosoɔ (Twi),"Often asymptomatic; may include headache, dizziness, chest pain","Genetic factors, high salt intake, stress, obesity, lack of exercise",Moringa oleifera,Drumstick tree/Zogale (Hausa),Fresh leaves made into tea or dried powder mixed with water,1-2 cups daily or 1 teaspoon powder twice daily,Oral (drinking),Miracle tree - leaves contain compounds that help lower blood pressure,
Cough (Persistent),Ɔwɔ (Twi),"Dry or productive cough, throat irritation, chest discomfort","Respiratory infections, allergies, environmental irritants",Xylopia aethiopica,Hwentia/Kani pepper (Twi),Grind dried fruits to powder or boil whole fruits in water,1 teaspoon powder in warm water or 1 cup decoction twice daily,Oral (drinking),Sacred pepper used in traditional ceremonies; excellent expectorant,
Skin Infections/Dermatitis,Honam yadeɛ (Twi),"Rashes, redness, irritation, itching, scaling","Bacterial, fungal, or viral infections; allergic reactions",Cassia alata,Asore abɔdeɛ/Ringworm bush (Twi),Crush fresh leaves to make paste or boil for washing solution,Apply paste 2-3 times daily or wash affected area twice daily,Topical application,"Highly effective antifungal; commonly called ""ringworm bush""",
Diarrhea,Ayamtim (Twi),"Loose, watery stools, abdominal cramps, dehydration","Bacterial, viral, or parasitic infections; food poisoning",Alchornea cordifolia,Agyama (Akan),Boil fresh leaves (25g) in 500ml water for 15 minutes,1/2 cup every 4 hours until symptoms subside,Oral (drinking),Potent antidiarrheal properties; used across West Africa,
Epilepsy,Akonkontonkron (Twi),"Seizures, temporary confusion, staring spells, muscle jerking","Neurological disorders, brain injury, genetic factors",Dracaena mannii,Kesenekesene (Twi),Grind dried roots to powder or make decoction,1 teaspoon powder twice daily or 1 cup decoction daily,Oral (drinking),Traditional treatment requires spiritual consultation; used cautiously,
Wounds/Cuts,Akuro (Twi),"Bleeding, swelling, pain, risk of infection","Physical injury, accidents, surgical incisions",Chromolaena odorata,Acheampong (Twi),Crush fresh leaves to extract juice or make paste,Apply fresh paste to wound 2-3 times daily,Topical application,Excellent wound healing properties; stops bleeding quickly,
Stomach Ulcer,Yafunu mu yadeɛ (Twi),"Burning stomach pain, bloating, heartburn, nausea","Helicobacter pylori infection, NSAIDs, stress, spicy foods",Ficus exasperata,Nyankyerɛnne (Twi),Boil fresh leaves in water to make infusion,1 cup twice daily before meals,Oral (drinking),Protective effect on stomach lining; reduces acid production,
